chr	start	end	width	strand	Conc	Conc_T2E	Conc_NonT2E	Fold	p.value	FDR	peak_ID
chr13	23864281	23864782	501	*	4.05	1.91	5.02	-3.12	3.78e-07	4.17e-05	990
chr11	43547715	43548216	501	*	4.74	5.38	3.05	2.32	3.82e-07	4.21e-05	993
chr17	705525	706026	501	*	4.5	5.13	2.85	2.28	3.89e-07	4.27e-05	996
chr8	52131839	52132340	501	*	4.01	2.05	4.96	-2.91	3.92e-07	4.29e-05	999
chr20	47774026	47774527	501	*	5.51	6	4.5	1.49	4.08e-07	4.44e-05	1003
chr14	64654998	64655499	501	*	5.05	5.6	3.8	1.79	4.08e-07	4.44e-05	1004
chr2	81880657	81881158	501	*	4.8	3.21	5.67	-2.46	4.09e-07	4.44e-05	1005
chr7	7589641	7590142	501	*	4.74	3.69	5.46	-1.77	4.12e-07	4.46e-05	1006
chr3	193995015	193995516	501	*	4.98	5.49	3.89	1.59	4.22e-07	4.56e-05	1010
chr4	79832219	79832720	501	*	5.08	3.73	5.9	-2.17	4.22e-07	4.56e-05	1011
chr20	10647699	10648200	501	*	5.01	5.62	3.41	2.22	4.24e-07	4.57e-05	1012
chr9	20382274	20382775	501	*	5.36	4.65	5.93	-1.29	4.29e-07	4.61e-05	1015
chr22	37309599	37310100	501	*	5.49	6.01	4.34	1.67	4.45e-07	4.74e-05	1025
chr22	23279202	23279703	501	*	6.87	7.23	6.22	1	4.48e-07	4.77e-05	1026
chr8	42187359	42187860	501	*	5.12	5.7	3.74	1.96	4.55e-07	4.82e-05	1032
chr12	48183637	48184138	501	*	7	7.51	5.93	1.57	4.61e-07	4.88e-05	1033
chr6	139553941	139554442	501	*	4.86	3.75	5.6	-1.85	4.62e-07	4.88e-05	1034
chr22	37289227	37289728	501	*	3.84	4.56	1.46	3.1	4.63e-07	4.89e-05	1035
chr4	79829976	79830477	501	*	5.21	3.89	6.02	-2.13	4.66e-07	4.91e-05	1037
chr22	48477040	48477892	852	*	4.54	5.19	2.73	2.46	4.71e-07	4.95e-05	1039
chr3	53495202	53495703	501	*	7.39	7.82	6.56	1.27	4.77e-07	5.01e-05	1041
chr7	155825213	155825714	501	*	4.79	5.44	2.98	2.46	4.87e-07	5.09e-05	1046
chr8	73185102	73185603	501	*	4.5	5.15	2.69	2.46	4.94e-07	5.15e-05	1048
chr10	17439297	17439798	501	*	5.14	4.3	5.77	-1.47	4.99e-07	5.19e-05	1049
chr7	30057402	30057903	501	*	4.41	3.15	5.19	-2.04	5.08e-07	5.27e-05	1052
chr2	9340101	9340602	501	*	5.36	5.86	4.29	1.57	5.14e-07	5.33e-05	1054
chr1	235069853	235070354	501	*	6.16	6.67	5.08	1.6	5.32e-07	5.48e-05	1062
chr2	96960836	96961337	501	*	4.84	5.38	3.62	1.76	5.44e-07	5.57e-05	1066
chr2	227848866	227849367	501	*	4.96	5.5	3.75	1.76	5.46e-07	5.58e-05	1070
chr10	76052361	76052862	501	*	5.56	6.01	4.69	1.32	5.86e-07	5.91e-05	1084
chr2	20105116	20105617	501	*	5.49	5.96	4.55	1.41	5.91e-07	5.95e-05	1085
chr10	30417387	30417888	501	*	4.94	5.48	3.72	1.76	6.05e-07	6.06e-05	1090
chr22	40028443	40028944	501	*	5.7	4.72	6.39	-1.68	6.06e-07	6.07e-05	1092
chr1	18283220	18283721	501	*	5	5.53	3.86	1.67	6.17e-07	6.14e-05	1096
chr11	58900901	58901402	501	*	4.64	3.44	5.41	-1.97	6.22e-07	6.17e-05	1101
chr15	89870524	89871025	501	*	5.03	3.98	5.75	-1.77	6.42e-07	6.33e-05	1109
chr10	3887422	3887923	501	*	6.87	7.26	6.16	1.11	6.43e-07	6.33e-05	1110
chr5	14260862	14261363	501	*	5.31	4.45	5.95	-1.5	6.49e-07	6.37e-05	1113
chr11	126465453	126465954	501	*	5.28	5.88	3.79	2.09	6.73e-07	6.54e-05	1124
chr5	150210661	150211162	501	*	5.19	5.74	3.96	1.77	6.82e-07	6.62e-05	1126
chr7	26514540	26515041	501	*	4.91	5.44	3.7	1.74	6.84e-07	6.63e-05	1127
chr4	79821266	79821767	501	*	4.22	2.52	5.13	-2.61	6.84e-07	6.63e-05	1128
chr6	7059981	7060482	501	*	5.44	4.64	6.05	-1.41	6.85e-07	6.63e-05	1129
chr2	81877081	81877582	501	*	3.11	-0.69	4.22	-4.9	6.93e-07	6.68e-05	1133
chr18	76350541	76351042	501	*	5.3	5.86	3.99	1.87	7.02e-07	6.72e-05	1142
chr8	57564566	57565067	501	*	4.29	2.69	5.17	-2.48	7.22e-07	6.88e-05	1147
chr7	4831826	4832327	501	*	4.15	4.85	1.97	2.88	7.28e-07	6.93e-05	1148
chr2	175373673	175374174	501	*	4.63	5.2	3.33	1.87	7.3e-07	6.95e-05	1149
chr12	16334689	16335190	501	*	4.09	2.24	5.02	-2.78	7.32e-07	6.95e-05	1150
chr12	14814598	14815099	501	*	5.47	4.51	6.15	-1.63	7.32e-07	6.95e-05	1151
chr9	26849051	26849552	501	*	3.99	2.07	4.93	-2.86	7.34e-07	6.96e-05	1152
chr22	38612159	38612660	501	*	3.91	1.77	4.89	-3.12	7.35e-07	6.97e-05	1153
chr2	209208228	209208729	501	*	4.58	3.16	5.41	-2.25	7.45e-07	7.04e-05	1157
chr6	145198406	145198907	501	*	4.45	3.21	5.23	-2.03	7.7e-07	7.23e-05	1163
chr17	33292359	33292860	501	*	5.31	5.92	3.78	2.14	7.8e-07	7.3e-05	1168
chr9	133707318	133707819	501	*	4.6	5.22	2.99	2.23	7.85e-07	7.33e-05	1169
chr3	193790315	193790816	501	*	5.76	6.24	4.79	1.45	7.9e-07	7.36e-05	1172
chr10	30535874	30536375	501	*	4.48	5.06	3.1	1.96	7.94e-07	7.39e-05	1174
chr20	21703132	21703633	501	*	4.23	4.91	2.18	2.73	7.97e-07	7.41e-05	1176
chr7	107868862	107869856	994	*	5.22	4.22	5.92	-1.71	8.04e-07	7.46e-05	1177
chr12	93160865	93161366	501	*	5.23	4.39	5.87	-1.48	8.2e-07	7.58e-05	1182
chr14	61308499	61309000	501	*	3.96	4.64	2.01	2.63	8.36e-07	7.71e-05	1185
chr12	4000076	4000577	501	*	5.02	5.64	3.41	2.23	8.36e-07	7.71e-05	1186
chr10	17441930	17442431	501	*	4.13	2.41	5.03	-2.63	8.97e-07	8.14e-05	1204
chr4	79824056	79824557	501	*	5.22	4.32	5.88	-1.56	9.01e-07	8.16e-05	1206
chr8	52120415	52120916	501	*	4.97	3.8	5.72	-1.92	9.06e-07	8.19e-05	1208
chr1	213982707	213983208	501	*	5.24	5.79	3.96	1.83	9.11e-07	8.23e-05	1209
chr2	13023933	13024434	501	*	3.99	4.68	1.91	2.77	9.2e-07	8.29e-05	1212
chr5	3187591	3188092	501	*	3.9	4.64	1.25	3.39	9.23e-07	8.3e-05	1215
chr8	52276949	52277450	501	*	3.97	1.69	4.96	-3.27	9.52e-07	8.51e-05	1222
chr1	17045736	17046237	501	*	4.31	3.09	5.09	-2	9.61e-07	8.57e-05	1225
chr18	335234	335735	501	*	5.71	6.18	4.78	1.39	9.85e-07	8.75e-05	1230
chr6	3129261	3129762	501	*	3.96	1.78	4.94	-3.16	9.88e-07	8.77e-05	1231
chr2	226630822	226631323	501	*	6.59	6.98	5.88	1.1	1.04e-06	9.19e-05	1238
chr14	37420503	37421004	501	*	6.27	5.51	6.86	-1.36	1.04e-06	9.2e-05	1240
chr5	147831556	147832057	501	*	3.9	1.66	4.89	-3.23	1.05e-06	9.23e-05	1242
chr12	112022337	112022838	501	*	4.06	2.72	4.88	-2.15	1.05e-06	9.23e-05	1243
chr10	128063979	128064480	501	*	5.56	6.06	4.5	1.56	1.08e-06	9.42e-05	1248
chr1	178304211	178304712	501	*	5.61	4.93	6.16	-1.23	1.09e-06	9.5e-05	1250
chr3	15606178	15606679	501	*	4.37	3.32	5.09	-1.77	1.12e-06	9.68e-05	1261
chr18	2754993	2755494	501	*	3.92	2.48	4.76	-2.28	1.13e-06	9.74e-05	1263
chr17	66690587	66691088	501	*	4.49	5.02	3.36	1.66	1.13e-06	9.78e-05	1264
chr8	19585002	19585503	501	*	6.45	5.77	7.02	-1.25	1.17e-06	0.000101	1269
chr6	146857761	146858262	501	*	6.23	6.67	5.37	1.3	1.18e-06	0.000101	1271
chr20	59429310	59429811	501	*	5.28	5.72	4.4	1.32	1.19e-06	0.000102	1272
chr1	8236430	8237388	958	*	5.45	5.88	4.64	1.24	1.2e-06	0.000103	1273
chr3	71315374	71315875	501	*	4.96	4.08	5.61	-1.54	1.22e-06	0.000105	1276
chr7	2870057	2870558	501	*	5.54	5.98	4.67	1.31	1.29e-06	0.000109	1291
chr13	23883675	23884176	501	*	3.37	0.82	4.4	-3.58	1.32e-06	0.000111	1298
chr17	57971501	57972002	501	*	4.86	3.76	5.6	-1.84	1.34e-06	0.000112	1300
chr12	52203484	52203985	501	*	5.18	5.69	4.09	1.6	1.38e-06	0.000115	1307
chr4	71553119	71553620	501	*	3.98	2.11	4.91	-2.81	1.39e-06	0.000116	1310
chr7	17726177	17726678	501	*	4.7	5.26	3.4	1.86	1.41e-06	0.000117	1312
chr7	105316577	105317078	501	*	4.92	4.09	5.54	-1.46	1.43e-06	0.000119	1318
chr13	23711544	23712045	501	*	3.65	1.5	4.63	-3.13	1.44e-06	0.000119	1320
chr2	3312975	3313476	501	*	4.86	5.4	3.68	1.71	1.45e-06	0.00012	1322
chr14	25052920	25053421	501	*	5	3.99	5.71	-1.72	1.46e-06	0.00012	1324
chr8	57541975	57542476	501	*	4.54	2.97	5.41	-2.43	1.48e-06	0.000122	1330
chr10	29728638	29729139	501	*	6.06	6.5	5.2	1.31	1.5e-06	0.000123	1332
chr4	98932897	98933398	501	*	5.63	6.06	4.81	1.25	1.51e-06	0.000123	1333
chr16	54077456	54077957	501	*	5.57	6.04	4.61	1.43	1.51e-06	0.000124	1334
chr13	112638073	112638574	501	*	4.22	4.86	2.53	2.32	1.54e-06	0.000126	1342
chr21	29104367	29104868	501	*	4.48	5.06	3.11	1.95	1.55e-06	0.000126	1344
chr9	113589257	113589758	501	*	6.22	6.64	5.42	1.22	1.57e-06	0.000127	1347
chr11	3207530	3208031	501	*	3.97	4.68	1.64	3.05	1.58e-06	0.000128	1351
chr12	93396280	93396781	501	*	5.28	4.54	5.87	-1.33	1.59e-06	0.000128	1352
chr8	27603035	27603536	501	*	4.8	3.98	5.43	-1.45	1.6e-06	0.000129	1353
chr2	75154503	75155004	501	*	4.41	5	2.95	2.05	1.62e-06	0.00013	1357
chr8	134681040	134681541	501	*	5.48	5.97	4.45	1.52	1.63e-06	0.000131	1360
chr9	96082416	96082917	501	*	5.02	5.57	3.75	1.82	1.64e-06	0.000131	1362
chr8	100289951	100290452	501	*	4.43	5.03	2.93	2.1	1.67e-06	0.000134	1364
chr9	131625925	131626426	501	*	5.2	5.78	3.82	1.96	1.69e-06	0.000135	1366
chr9	107508701	107509202	501	*	6.11	5.42	6.66	-1.24	1.69e-06	0.000135	1367
chr1	47924577	47925078	501	*	4.66	5.21	3.4	1.81	1.72e-06	0.000137	1370
chr2	195317245	195317746	501	*	3.81	2.08	4.71	-2.64	1.72e-06	0.000137	1371
chr5	14717675	14718176	501	*	6.37	5.69	6.92	-1.24	1.73e-06	0.000137	1373
chr14	25055205	25055706	501	*	4.62	3.53	5.36	-1.83	1.8e-06	0.000142	1385
chr7	107871390	107871891	501	*	4.42	3.16	5.21	-2.05	1.82e-06	0.000143	1391
chr7	26523083	26523584	501	*	4.78	5.29	3.73	1.56	1.86e-06	0.000145	1399
chr7	73706354	73706855	501	*	5.09	5.69	3.56	2.13	1.86e-06	0.000145	1400
chrX	23773942	23774443	501	*	4.14	4.75	2.59	2.16	1.89e-06	0.000147	1405
chr8	52116863	52117364	501	*	5.03	4	5.74	-1.74	1.89e-06	0.000147	1407
chr22	50028135	50028636	501	*	6.28	6.74	5.35	1.39	1.9e-06	0.000148	1408
chr10	11986627	11987128	501	*	4.16	2.83	4.97	-2.14	1.91e-06	0.000148	1410
chr20	10566744	10567245	501	*	5.32	5.8	4.35	1.45	1.96e-06	0.000151	1418
chr5	174724500	174725001	501	*	6.77	7.21	5.91	1.3	1.97e-06	0.000151	1421
chr21	37665803	37666304	501	*	4.68	5.21	3.52	1.69	1.99e-06	0.000152	1426
chr8	70129042	70129543	501	*	4.49	3.46	5.21	-1.75	2e-06	0.000153	1431
chr6	168138794	168139295	501	*	4.33	4.93	2.85	2.08	2e-06	0.000153	1432
chr1	211145049	211145916	867	*	5.12	5.66	3.92	1.74	2.05e-06	0.000156	1435
chr2	8457038	8457539	501	*	6.04	6.5	5.15	1.34	2.11e-06	0.00016	1442
chr19	31575490	31575991	501	*	4.7	3.46	5.48	-2.02	2.14e-06	0.000162	1447
chr2	63045021	63045522	501	*	3.21	0.3	4.27	-3.97	2.14e-06	0.000162	1448
chr12	93517387	93517888	501	*	4.72	3.54	5.48	-1.93	2.15e-06	0.000162	1449
chr2	102271504	102272365	861	*	4.94	5.52	3.53	1.99	2.19e-06	0.000164	1457
chr6	41637237	41637738	501	*	7	7.42	6.21	1.2	2.22e-06	0.000166	1461
chr5	14711596	14712097	501	*	4.33	3.29	5.05	-1.76	2.27e-06	0.000169	1465
chr5	55384652	55385153	501	*	4.66	3.59	5.39	-1.8	2.29e-06	0.00017	1467
chr9	3237636	3238137	501	*	3.24	0.49	4.28	-3.8	2.31e-06	0.000172	1471
chr18	1511652	1512153	501	*	4.71	5.36	2.93	2.43	2.31e-06	0.000172	1472
chr20	63942318	63942819	501	*	5.3	5.83	4.14	1.69	2.33e-06	0.000173	1473
chr17	41548665	41549166	501	*	6.74	7.1	6.11	1	2.35e-06	0.000174	1474
chr15	94673817	94674318	501	*	4.79	5.4	3.27	2.13	2.36e-06	0.000175	1477
chr6	15675903	15676404	501	*	4.62	5.18	3.31	1.87	2.37e-06	0.000175	1479
chr12	6735951	6736452	501	*	5.08	4.32	5.67	-1.35	2.4e-06	0.000177	1481
chr21	38497961	38498462	501	*	4.4	5.04	2.64	2.4	2.41e-06	0.000177	1482
chr2	102245601	102246102	501	*	4.99	5.53	3.78	1.76	2.41e-06	0.000178	1483
chr1	220680940	220681441	501	*	4.88	4.02	5.53	-1.51	2.45e-06	0.00018	1490
chr15	80768737	80769238	501	*	5.17	3.89	5.97	-2.07	2.46e-06	0.00018	1493
chr1	178301481	178301982	501	*	3.91	2.3	4.79	-2.49	2.54e-06	0.000185	1500
chr3	193797858	193798359	501	*	4.26	4.82	2.96	1.87	2.55e-06	0.000185	1502
chr11	77036792	77037293	501	*	5.27	5.73	4.37	1.36	2.57e-06	0.000186	1506
chr21	31874905	31875406	501	*	5.33	5.81	4.34	1.48	2.6e-06	0.000188	1511
chr3	32030111	32030612	501	*	5.19	5.76	3.86	1.9	2.64e-06	0.00019	1516
chr6	21664327	21664828	501	*	7.15	7.52	6.48	1.04	2.65e-06	0.00019	1519
chr17	72351758	72352259	501	*	5.1	5.63	3.96	1.67	2.65e-06	0.00019	1520
chr1	116497881	116498382	501	*	5.45	5.92	4.49	1.43	2.65e-06	0.000191	1522
chr1	113154657	113155158	501	*	3.9	2.12	4.81	-2.7	2.66e-06	0.000191	1525
chr4	15722977	15723478	501	*	4.67	3.54	5.41	-1.87	2.67e-06	0.000191	1526
chr1	235523727	235524228	501	*	4.43	2.74	5.33	-2.59	2.67e-06	0.000191	1527
chr18	2758671	2759172	501	*	3.92	1.96	4.87	-2.91	2.69e-06	0.000192	1531
chr18	8344609	8345110	501	*	4.91	3.88	5.62	-1.75	2.7e-06	0.000192	1532
chr7	137267243	137267744	501	*	4.7	3.78	5.37	-1.58	2.7e-06	0.000193	1533
chr18	12679310	12679811	501	*	5.37	5.86	4.39	1.47	2.7e-06	0.000193	1534
chr11	86596885	86597386	501	*	4.89	5.47	3.5	1.97	2.74e-06	0.000194	1538
chr17	11150680	11151181	501	*	4.33	5.02	2.22	2.8	2.75e-06	0.000195	1542
chr2	81885204	81885705	501	*	3.06	-0.69	4.17	-4.85	2.85e-06	0.000201	1552
chr7	1418282	1418783	501	*	4.48	5.04	3.2	1.84	2.91e-06	0.000204	1557
chr11	12070813	12071314	501	*	6.12	6.51	5.43	1.08	2.94e-06	0.000206	1559
chr12	124343920	124344421	501	*	4.57	5.14	3.23	1.92	2.97e-06	0.000208	1563
chr7	107867459	107867960	501	*	4.63	3.22	5.46	-2.24	3.07e-06	0.000213	1570
chr10	86902520	86903021	501	*	4.78	3.84	5.45	-1.6	3.11e-06	0.000216	1572
chr1	19925238	19925739	501	*	3.94	4.61	2.02	2.59	3.13e-06	0.000217	1573
chr6	31851993	31852494	501	*	4.52	5.05	3.33	1.72	3.15e-06	0.000218	1577
chr8	27477905	27478406	501	*	4.68	3.76	5.35	-1.6	3.16e-06	0.000218	1579
chr15	33310834	33311335	501	*	4.94	5.53	3.53	1.99	3.16e-06	0.000219	1580
chr15	72728679	72729180	501	*	4.17	2.4	5.08	-2.69	3.2e-06	0.000221	1585
chr17	83031802	83032303	501	*	4.81	5.44	3.15	2.29	3.21e-06	0.000221	1587
chr3	13282273	13282774	501	*	6.4	6.83	5.56	1.27	3.22e-06	0.000221	1588
chr3	138946432	138946933	501	*	6.62	7.13	5.55	1.58	3.32e-06	0.000226	1602
chr2	238174902	238175403	501	*	5.14	5.64	4.11	1.53	3.32e-06	0.000226	1603
chr12	85031424	85031925	501	*	5.18	4.22	5.86	-1.64	3.33e-06	0.000227	1606
chr20	61902101	61902602	501	*	5.6	6.1	4.54	1.56	3.34e-06	0.000227	1607
chr9	134456666	134457167	501	*	7.5	7.85	6.89	0.96	3.34e-06	0.000227	1608
chr1	32345595	32346096	501	*	4.86	5.34	3.9	1.43	3.35e-06	0.000227	1609
chr8	52114421	52114922	501	*	4.56	3.41	5.31	-1.9	3.35e-06	0.000227	1610
chr4	105143102	105143603	501	*	4.69	3.85	5.33	-1.48	3.36e-06	0.000228	1611
chr2	99349618	99350119	501	*	3.44	1.24	4.42	-3.18	3.36e-06	0.000228	1612
chr14	37560897	37561398	501	*	4.59	3.64	5.28	-1.64	3.37e-06	0.000228	1613
chr1	229217714	229218215	501	*	5.74	4.98	6.33	-1.35	3.37e-06	0.000228	1614
chr2	109352988	109353489	501	*	4.72	5.28	3.44	1.84	3.39e-06	0.000229	1616
chr2	46314773	46315274	501	*	6.88	7.26	6.2	1.07	3.57e-06	0.00024	1625
chr1	24655795	24656296	501	*	4.8	3.97	5.44	-1.47	3.59e-06	0.000241	1627
chr12	93097171	93097672	501	*	5.52	4.78	6.1	-1.33	3.64e-06	0.000243	1632
chr12	14824868	14825369	501	*	4.74	3.85	5.4	-1.55	3.68e-06	0.000246	1636
chr6	20289924	20290425	501	*	3.23	-0.1	4.32	-4.42	3.7e-06	0.000247	1638
chr4	26867701	26868202	501	*	5.16	4.45	5.73	-1.27	3.76e-06	0.00025	1644
chr14	89902788	89903289	501	*	4.32	3.16	5.07	-1.91	3.77e-06	0.00025	1645
chr12	121932601	121933102	501	*	4.22	4.79	2.88	1.91	3.78e-06	0.000251	1647
chr21	45427242	45427743	501	*	5.37	5.82	4.5	1.32	3.8e-06	0.000252	1650
chr5	6417756	6418257	501	*	4.62	5.21	3.16	2.05	3.89e-06	0.000257	1658
chr1	178300117	178300618	501	*	4.63	3.78	5.27	-1.49	3.91e-06	0.000257	1660
chr15	79849123	79849624	501	*	4.5	3.24	5.29	-2.06	3.92e-06	0.000257	1662
chr10	92092327	92092828	501	*	4.09	2.5	4.97	-2.47	3.95e-06	0.000259	1667
chr10	30418279	30418780	501	*	5.13	5.61	4.15	1.47	3.95e-06	0.000259	1668
chr2	100824776	100825277	501	*	4.4	3.01	5.22	-2.22	4.02e-06	0.000263	1671
chr6	169957336	169957837	501	*	4.16	4.77	2.56	2.21	4.11e-06	0.000267	1682
chr7	26525942	26526443	501	*	6.32	6.75	5.5	1.25	4.2e-06	0.000272	1689
chr1	207077213	207077714	501	*	4.75	3.8	5.43	-1.63	4.21e-06	0.000272	1690
chr14	24964000	24964501	501	*	5.14	4.43	5.72	-1.29	4.22e-06	0.000273	1691
chr20	50583900	50584401	501	*	4.86	4.09	5.46	-1.37	4.24e-06	0.000273	1694
chr1	12383840	12384341	501	*	4.76	5.3	3.53	1.77	4.3e-06	0.000275	1705
chr10	29124756	29125257	501	*	5.1	4.3	5.71	-1.41	4.31e-06	0.000276	1707
chr8	109638730	109639231	501	*	4.15	2.98	4.9	-1.92	4.32e-06	0.000276	1708
chr6	169959277	169959778	501	*	5.53	6	4.56	1.44	4.32e-06	0.000276	1710
chr3	72655088	72655589	501	*	5.62	4.86	6.21	-1.35	4.5e-06	0.000286	1721
chr8	80568752	80569253	501	*	5.03	4.23	5.64	-1.41	4.6e-06	0.000291	1728
chr1	224087576	224088077	501	*	4.22	4.85	2.54	2.31	4.64e-06	0.000293	1732
chr8	18670085	18670586	501	*	4.7	3.65	5.41	-1.76	4.69e-06	0.000295	1737
chr5	78235437	78235938	501	*	4.24	3.27	4.93	-1.66	4.7e-06	0.000295	1741
chr3	57057018	57057519	501	*	4.59	5.11	3.48	1.62	4.71e-06	0.000295	1742
chr9	89557463	89557964	501	*	3.89	4.64	1.2	3.44	4.72e-06	0.000296	1743
chr3	42520109	42520610	501	*	5.2	5.65	4.29	1.36	4.85e-06	0.000303	1749
chr4	71551817	71552318	501	*	4.16	2.75	4.99	-2.24	4.91e-06	0.000306	1754
chr2	159131118	159131619	501	*	5.34	5.81	4.38	1.44	4.91e-06	0.000306	1755
chr21	38486711	38487212	501	*	4.08	4.74	2.22	2.52	4.92e-06	0.000306	1757
chr13	23852269	23852770	501	*	3.81	1.63	4.79	-3.16	4.95e-06	0.000307	1761
chr13	33661404	33661905	501	*	4.02	4.68	2.16	2.52	5.11e-06	0.000315	1775
chr9	26853005	26853506	501	*	3.97	2.39	4.84	-2.45	5.23e-06	0.000321	1779
chr13	50130230	50130731	501	*	6.83	7.23	6.1	1.13	5.27e-06	0.000323	1780
chr20	41004759	41005260	501	*	5.9	6.33	5.08	1.24	5.29e-06	0.000324	1782
chr7	154911520	154912021	501	*	4.64	5.25	3.07	2.18	5.31e-06	0.000325	1783
chr9	112078043	112078544	501	*	5.37	5.78	4.6	1.18	5.31e-06	0.000325	1785
chr9	93955430	93955931	501	*	5.91	6.4	4.88	1.52	5.35e-06	0.000327	1789
chr9	20380056	20380557	501	*	5.03	4.1	5.71	-1.61	5.42e-06	0.00033	1793
chr22	43257849	43258350	501	*	4.36	4.99	2.73	2.26	5.44e-06	0.000331	1795
chr13	23724422	23724923	501	*	5.09	3.86	5.87	-2.01	5.46e-06	0.000332	1796
chr13	52845682	52846183	501	*	5.37	5.91	4.14	1.78	5.47e-06	0.000333	1797
chr7	55029876	55030377	501	*	4.7	3.86	5.33	-1.46	5.52e-06	0.000335	1801
chr7	41189551	41190052	501	*	4.83	5.4	3.5	1.89	5.54e-06	0.000336	1803
chr4	2714302	2714803	501	*	5.29	5.72	4.47	1.26	5.59e-06	0.000338	1807
chr3	136995225	136995726	501	*	6.23	6.62	5.51	1.11	5.65e-06	0.000341	1811
chr15	39580355	39580856	501	*	7.54	7.85	7.03	0.83	5.86e-06	0.000352	1817
chr9	89598763	89599264	501	*	4.46	3.52	5.14	-1.62	5.9e-06	0.000354	1820
chr12	79737768	79738269	501	*	4.9	3.89	5.6	-1.7	5.94e-06	0.000356	1822
chr22	50036050	50036551	501	*	4.35	4.94	2.95	1.98	5.95e-06	0.000357	1824
chr2	64494008	64494509	501	*	4.37	3.15	5.15	-2	5.97e-06	0.000357	1826
chr17	50697175	50697676	501	*	4.08	2.66	4.91	-2.25	5.97e-06	0.000357	1827
chr18	8327632	8328133	501	*	4.79	3.64	5.55	-1.91	6e-06	0.000358	1830
chr2	178418647	178419148	501	*	4.2	3.06	4.95	-1.89	6.02e-06	0.000359	1832
chr7	91035289	91035790	501	*	3.73	2.17	4.6	-2.43	6.02e-06	0.000359	1833
chr5	55343782	55344283	501	*	4.75	3.86	5.4	-1.54	6.02e-06	0.000359	1834
chr11	10520899	10521400	501	*	4.54	5.09	3.3	1.79	6.04e-06	0.000359	1836
chr18	76697330	76697831	501	*	5.2	5.69	4.2	1.49	6.04e-06	0.000359	1837
chr5	142551581	142552082	501	*	5.91	6.38	4.93	1.45	6.11e-06	0.000363	1838
chr10	13945876	13946377	501	*	4.74	5.22	3.77	1.44	6.13e-06	0.000364	1840
chr1	9467202	9467703	501	*	5.85	6.29	4.99	1.3	6.18e-06	0.000366	1843
chr2	64477931	64478432	501	*	4.68	3.71	5.37	-1.67	6.23e-06	0.000369	1847
chr1	11729327	11729828	501	*	5.64	6.04	4.88	1.16	6.25e-06	0.000369	1849
chr2	217425033	217425534	501	*	3.27	0.73	4.29	-3.56	6.25e-06	0.000369	1850
chr10	33196900	33197401	501	*	5.6	4.87	6.19	-1.32	6.26e-06	0.000369	1854
chr5	95652925	95653426	501	*	4.53	3.49	5.24	-1.75	6.32e-06	0.000371	1857
chr2	46803659	46804160	501	*	5.38	5.88	4.29	1.59	6.46e-06	0.000377	1870
chr8	52971740	52972241	501	*	4.05	2.91	4.79	-1.88	6.52e-06	0.000379	1876
chr15	90895448	90895949	501	*	4.66	5.14	3.71	1.43	6.53e-06	0.00038	1877
chr8	27426274	27426775	501	*	4.74	3.96	5.34	-1.38	6.57e-06	0.000381	1884
chr2	75152929	75153430	501	*	4.22	4.79	2.89	1.9	6.57e-06	0.000381	1885
chr3	42129151	42129652	501	*	5.88	5.18	6.45	-1.27	6.64e-06	0.000385	1887
chr2	210201449	210201950	501	*	3.63	2.03	4.51	-2.48	6.66e-06	0.000386	1888
chr2	197179644	197180145	501	*	4.71	5.21	3.67	1.53	6.74e-06	0.000389	1892
chr2	105378238	105378739	501	*	4.83	5.31	3.83	1.49	6.81e-06	0.000392	1895
chr6	31094242	31094743	501	*	4.87	5.38	3.78	1.6	6.89e-06	0.000396	1899
chr17	3011550	3012051	501	*	6	6.46	5.09	1.38	6.93e-06	0.000398	1902
chr12	107764267	107764768	501	*	4.87	3.98	5.53	-1.54	7.04e-06	0.000403	1910
chr20	21522221	21522722	501	*	5.82	6.36	4.63	1.73	7.13e-06	0.000407	1914
chr3	13196077	13196578	501	*	3.7	4.39	1.6	2.79	7.15e-06	0.000407	1917
chr20	574344	574845	501	*	4.56	5.2	2.83	2.37	7.17e-06	0.000408	1919
chr5	1139072	1139573	501	*	4.58	5.1	3.47	1.63	7.2e-06	0.000409	1920
chr16	84758674	84759175	501	*	5.96	6.34	5.3	1.04	7.2e-06	0.00041	1921
chr10	42749577	42750078	501	*	3.55	1.11	4.56	-3.45	7.33e-06	0.000416	1924
chr7	26530999	26531500	501	*	4.41	5.01	2.92	2.09	7.4e-06	0.00042	1926
chr20	25081639	25082140	501	*	4.63	5.16	3.44	1.72	7.49e-06	0.000424	1930
chr14	60508966	60509467	501	*	5.53	6.03	4.49	1.54	7.51e-06	0.000425	1931
chr21	38494622	38495123	501	*	4.57	5.17	3.09	2.07	7.51e-06	0.000425	1932
chr13	113017913	113018414	501	*	4.55	5.17	2.95	2.22	7.52e-06	0.000425	1933
chr1	155179157	155179658	501	*	4.48	5.04	3.19	1.85	7.71e-06	0.000435	1936
chr17	56699418	56699919	501	*	5.81	6.19	5.15	1.04	7.81e-06	0.000439	1943
chr7	107865979	107866480	501	*	5.19	4.17	5.9	-1.73	7.81e-06	0.000439	1944
chr17	77394468	77394969	501	*	6.17	6.54	5.53	1.01	7.88e-06	0.000442	1947
chr5	96753323	96753824	501	*	4.28	4.84	3	1.84	8.07e-06	0.000451	1954
chr1	54413356	54413857	501	*	5.81	6.24	5	1.24	8.15e-06	0.000455	1956
